Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
5857,107TH ST EL,918,20,1,K- 5,South,7
5836,109TH ST EL,473,31,3,K- 5,South,7
7082,10TH ST EL,706,48,4,1-5,Central,2
5884,112TH ST EL,445,25,2,K- 5,South,7
5863,116TH ST EL,490,8,1,K- 5,South,7
5740,118TH ST EL,614,26,2,K- 5,South,7
5887,122ND ST EL,752,21,1,K- 5,South,7
5877,135TH ST EL,930,23,2,K- 5,South,1
5822,153RD ST EL,370,19,1,K- 5,South,7
5808,156TH ST EL,403,27,2,K- 6,South,7
3767,15TH ST EL,600,24,2,K- 5,South,7
5753,186TH ST EL,824,56,4,K- 5,South,7
3836,1ST ST EL,706,23,2,K- 6,East,2
7274,20TH ST EL,595,34,3,K- 5,Central,2
7329,232ND PL EL,432,33,3,K- 5,South,7
7301,24TH ST EL,562,16,1,K- 4,Central,1
7288,28TH ST EL,765,25,2,K- 5,Central,2
6575,2ND ST EL,445,10,1,K- 6,East,2
7137,32ND/USC PER ART MAG,"1,088",27,2,K- 5,Central,1
3959,42ND ST EL,265,9,1,K- 5,West,1
3932,49TH ST EL,878,39,4,K- 5,Central,7
3973,4TH ST EL,957,22,2,K- 5,East,2
3808,52ND ST EL,890,20,1,K- 5,West,1
3781,54TH ST EL,297,13,1,K- 5,West,1
3795,59TH ST EL,"3,795",24,2,K- 5,West,1
6808,61ST ST EL,607,23,2,K- 6,West,1
6822,66TH ST EL,945,22,2,K- 6,South,7
6781,6TH AVE EL,715,13,1,K- 5,West,1
6644,74TH ST EL,571,19,1,K- 5,West,1
6630,75TH ST EL,"1,012",26,2,K- 6,South,7
6616,7TH ST EL,522,39,4,K- 5,South,7
5548,92ND ST EL,895,28,3,K- 6,South,7
5582,93RD ST EL,"1,125",17,1,K- 6,South,7
5521,95TH ST EL,"1,077",27,2,K- 5,West,1
5575,96TH ST EL,868,22,2,K- 6,South,7
5534,99TH ST EL,657,25,2,K- 6,South,7
5505,9TH ST EL,253,46,4,K- 5,Central,2
2250,ACAD FOR ENRCH SCI,264,37,4,1-5,NorthWes,3
2014,ALBION EL,270,20,1,K- 6,East,2
2027,ALDAMA EL,611,27,2,K- 6,Central,5
5111,ALEXANDER SCI CTR SC,650,19,1,K- 5,Central,1
2041,ALEXANDRIA EL,715,16,1,K- 5,Central,2
2068,ALLESANDRO EL,550,44,4,K- 5,Central,5
7398,ALTA CALIFORNIA EL,860,23,2,K- 5,NorthWes,6
2082,ALTA LOMA EL,647,32,3,K- 5,West,1
6426,AMANECER PC,200,14,1,K- 2,East,2
2089,AMBLER EL,439,26,2,K- 5,South,7
2096,AMESTOY EL,806,32,3,K- 5,South,7
2110,ANATOLA EL,445,27,2,K- 5,NorthWes,6
2117,ANDASOL EL,434,41,4,K- 5,NorthWes,3
2123,ANGELES MESA EL,405,28,3,K- 5,West,1
2137,ANN EL,120,21,1,K- 5,East,2
