Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
7137,32ND/USC PER ART MAG,"1,088",48,4,K- 12,Central,1
3932,49TH ST EL,878,28,2,K- 5,Central,7
8009,ADAMS MS,930,48,4,6-8,Central,2
8726,ADDAMS HS,176,18,1,9-12,Northwest,3
8507,AGGELER HS,98,16,1,7-12,Northwest,3
7722,ANGELOU COMM FN ARTS,"1,344",24,1,9-12,Central,7
8852,ANGEL'S GATE HS,105,25,1,9-12,South,7
8609,ARLETA SH,"1,524",45,4,9-12,Northeast,6
4322,ARROYO SECO MUSM SCI,527,25,1,K- 8,Central,2
8028,AUDUBON MS,686,20,1,42163,West,1
8531,AVALON HS,100,25,1,9-12,South,7
8038,BANCROFT MS,841,48,4,6-8,West,4
1941,BANNEKER SP ED CTR,180,19,1,9-12,South,7
8529,BANNING SH,"2,083",40,3,9-12,South,7
7632,BANNING SH CIS,527,18,1,9-10,South,7
8536,BELL SH,"3,250",36,3,9-12,East,5
8543,BELMONT SH,"1,026",38,3,9-12,Central,2
8047,BELVEDERE MS,"1,347",34,3,6-8,East,2
8057,BERENDO MS,919,54,4,6-8,Central,2
7734,BERNSTEIN SH STEM,572,32,2,9-12,West,4
8060,BETHUNE MS,1308,46,4,7-8,South,7
7615,BOYLE HEIGHTS STEM,62,10,1,9-10,East,5
8754,BRAVO MEDICAL MAG,"1,846",41,3,9-12,East,2
8066,BURBANK MS,883,36,3,7-8,Central,5
8612,BURKE HS,198,18,1,9-12,Northeast,6
8075,BURROUGHS MS,"1,924",50,4,6-8,West,1
8080,BYRD MS,"1,704",29,2,6-8,Northeast,6
8571,CANOGA PARK SH,"1,677",38,3,9-12,Northwest,3
1944,CARLSON HOSP (K-12),487,11,1,K-12,Northeast,3
2815,CAROLDALE LRNG COMM,983,27,2,K- 8,South,7
7657,CARSON ACAD ED & EMP,535,25,1,9-12,South,7
7656,CARSON ACAD MED ARTS,489,24,1,42259,South,7
8575,CARSON SH,"1,587",52,4,9-12,South,7
8094,Carver Middle School,790,28,2,6-8,Central,0
8045,CASTRO MS,421,27,2,6-8,Central,2
8589,CDS JOHNSTON,180,41,3,7-12,South,7
8991,CDS TRI-C,268,27,2,7-12,Central,2
8580,CENTRAL HS,615,29,2,9-12,Central,2
8583,CHATSWORTH CHTR HS,"2,346",36,3,9-12,Northwest,3
7715,CHAVEZ LA ARTES MAG,506,55,4,9-12,Northeast,6
7716,CHAVEZ LA SJ HUM AC,508,49,4,9-12,Northeast,6
